'Player';'Nationality';'Pos';'Club';'Age';'Born';'MP';'Starts';'Min';'90s';'Goals';'Assists';'G+A';'CrdYellow';'CrdRed';'xG';'xAG';;''Age'';''Born'';''MP'';''Starts'';''Min'';''90s'';''Goals'';''Assists'';''G+A'';''CrdYellow'';''CrdRed'';''xG'';''xAG''
'Sergio Ramos';'ESP';'DF';'Paris S-G';36;1986;8;8;720;8;0;0;0;2;0;0.3;0;;''Sergio Ramos'';''ESP'';''DF'';''Paris S-G'';;;;;;;;;
'Calvin Ramsay';'SCO';'DF';'Liverpool';19;2003;1;0;4;0;0;0;0;0;0;0;0;;''Calvin Ramsay'';''SCO'';''DF'';''Liverpool'';;;;;;;;;
'Raphinha';'BRA';'FW';'Barcelona';25;1996;5;4;294;3.3;0;2;2;0;0;0.5;1.1;;''Raphinha'';''BRA'';''FW'';''Barcelona'';;;;;;;;;
'Giacomo Raspadori';'ITA';'FW';'Napoli';22;2000;7;3;250;2.8;4;3;7;1;0;1;0.6;;''Giacomo Raspadori'';''ITA'';''FW'';''Napoli'';;;;;;;;;
'David Raum';'GER';'DF';'RB Leipzig';24;1998;8;6;531;5.9;0;0;0;0;0;0;0.8;;''David Raum'';''GER'';''DF'';''RB Leipzig'';;;;;;;;;
'Ante Rebic';'CRO';'FW,MF';'Milan';28;1993;7;2;249;2.8;0;0;0;0;0;0.8;0.4;;''Ante Rebic'';''CRO'';''FW,MF'';''Milan'';;;;;;;;;
'Matheus Reis';'BRA';'DF';'Sporting CP';27;1995;6;5;509;5.7;0;0;0;2;0;0.1;0.2;;''Matheus Reis'';''BRA'';''DF'';''Sporting CP'';;;;;;;;;
'Karim Rekik';'NED';'DF';'Sevilla';27;1994;1;1;90;1;0;0;0;0;0;0;0;;''Karim Rekik'';''NED'';''DF'';''Sevilla'';;;;;;;;;
'Devyne Rensch';'NED';'DF';'Ajax';19;2003;4;3;287;3.2;0;0;0;1;0;0.5;0;;''Devyne Rensch'';''NED'';''DF'';''Ajax'';;;;;;;;;
'Marco Reus';'GER';'MF,FW';'Dortmund';33;1989;3;3;262;2.9;1;1;2;0;0;0.9;0.8;;''Marco Reus'';''GER'';''MF,FW'';''Dortmund'';;;;;;;;;
'Gio Reyna';'USA';'FW,MF';'Dortmund';19;2002;6;3;383;4.3;0;2;2;0;0;0.2;1.1;;''Gio Reyna'';''USA'';''FW,MF'';''Dortmund'';;;;;;;;;
'Richarlison';'BRA';'MF,FW';'Tottenham';25;1997;6;4;365;4.1;2;0;2;0;0;1.2;0.8;;''Richarlison'';''BRA'';''MF,FW'';''Tottenham'';;;;;;;;;
'Stefan Ristovski';'MKD';'DF';'Dinamo Zagreb';30;1992;5;5;370;4.1;0;0;0;1;0;0.1;0.1;;''Stefan Ristovski'';''MKD'';''DF'';''Dinamo Zagreb'';;;;;;;;;
'Mats Rits';'BEL';'MF';'Club Brugge';29;1993;1;0;17;0.2;0;0;0;0;0;0;0;;''Mats Rits'';''BEL'';''MF'';''Club Brugge'';;;;;;;;;
'Sergi Roberto';'ESP';'DF';'Barcelona';30;1992;3;3;206;2.3;0;2;2;1;0;0.1;0.8;;''Sergi Roberto'';''ESP'';''DF'';''Barcelona'';;;;;;;;;
'Andrew Robertson';'SCO';'DF';'Liverpool';28;1994;5;4;378;4.2;0;2;2;0;0;0.1;0.5;;''Andrew Robertson'';''SCO'';''DF'';''Liverpool'';;;;;;;;;
'Rochinha';'POR';'MF,FW';'Sporting CP';27;1995;1;0;18;0.2;0;0;0;0;0;0;0.1;;''Rochinha'';''POR'';''MF,FW'';''Sporting CP'';;;;;;;;;
'Sebastian Rode';'GER';'MF';'Eint Frankfurt';31;1990;6;3;299;3.3;0;1;1;0;0;0.2;0.8;;''Sebastian Rode'';''GER'';''MF'';''Eint Frankfurt'';;;;;;;;;
'Rodri';'ESP';'MF';'Manchester City';26;1996;12;11;995;11.1;2;0;2;1;0;0.9;0.6;;''Rodri'';''ESP'';''MF'';''Manchester City'';;;;;;;;;
'Rodrygo';'BRA';'FW';'Real Madrid';21;2001;12;10;819;9.1;5;2;7;0;0;4.5;1.5;;''Rodrygo'';''BRA'';''FW'';''Real Madrid'';;;;;;;;;
'Cristian Romero';'ARG';'DF';'Tottenham';24;1998;7;7;598;6.6;0;0;0;4;1;0.3;0.1;;''Cristian Romero'';''ARG'';''DF'';''Tottenham'';;;;;;;;;
